dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,bread,X21.CMN.CMN_M_035,HT1_S029,-1.2610189359613084,2,12
X21,1,father,X21.CMN.CMN_M_032,HT1_S029,-0.675803839117991,7,7
X21,1,forgot,X21.CMN.CMN_M_032,HT1_S029,-0.3453007662830801,12,2
X21,1,bread,X21.CMN.CMN_M_032,HT1_S029,-0.40997826086897,11,3
X21,1,father,X21.CMN.CMN_M_037,HT1_S029,-1.133371155418409,6,6
X21,1,forgot,X21.CMN.CMN_M_037,HT1_S029,-0.4890966075453194,11,1
X21,1,bread,X21.CMN.CMN_M_037,HT1_S029,-0.24390303070416458,9,3
X21,1,father,X21.CMN.CMN_M_043,HT1_S029,-1.2750131582011988,1,12
X21,1,forgot,X21.CMN.CMN_M_043,HT1_S029,-0.17365338776788264,11,2
X21,1,bread,X21.CMN.CMN_M_043,HT1_S029,-1.1187258095480288,2,11
X21,1,family,X21.CMN.CMN_M_043,HT1_S032,0.30137469437525777,13,0
